Category,Feature,Description,Status,Differentiator
Terminal Core,Rust Terminal Backend,"Custom terminal emulator written in Rust with FFI bridge — fast, memory-safe, and correct",Shipped,Yes
Terminal Core,Full ANSI/VT100 Support,"16-color, 256-color, and 24-bit true color with full SGR attributes (bold, italic, underline, strikethrough)",Shipped,No
Terminal Core,Kitty Keyboard Protocol,Full Kitty progressive enhancement keyboard protocol for modern key handling,Shipped,No
Terminal Core,Inline Image Protocols,"iTerm2 (ESC ] 1337), Sixel, and Kitty image protocol — display images directly in your terminal",Shipped,No
Terminal Core,Configurable Cursor Styles,"Block, underline, bar — with optional blinking",Shipped,No
Terminal Core,Large Scrollback Buffer,Configurable scrollback size with GPU-accelerated scrolling,Shipped,No
Terminal Core,Shell Selection,"Zsh, Bash, Fish, or custom shell path — Apple Silicon and Intel native",Shipped,No
Terminal Core,Dead Key & IME Support,"Proper dead key, accent, and diacritic input via NSTextInputClient marked text",Shipped,No
Terminal Core,Default Start Directory,Configurable default working directory for new terminals,Shipped,No
Terminal Core,Startup Commands,Run custom commands automatically when a new terminal session starts,Shipped,No
Terminal Core,Shell Integration (OSC 7),Tracks working directory changes via OSC 7 escape sequences,Shipped,No
Terminal Core,Copy on Select,Selected text is automatically copied to the clipboard,Shipped,No
Terminal Core,Click-to-Position,Option+click to position the cursor anywhere on the command line,Shipped,No
Performance,Metal GPU Rendering,Hardware-accelerated text rendering via Apple Metal — smooth even at high throughput,Shipped,Yes
Performance,IOSurface Direct Display,Bypass the macOS compositor entirely for GPU-to-display output,Shipped,Yes
Performance,Glyph Atlas Caching,Dynamic glyph cache eliminates redundant text rasterization,Shipped,Yes
Performance,SIMD Escape Parsing,"16–32 byte SIMD-accelerated ANSI escape sequence parsing in Rust for maximum parse throughput",Shipped,Yes
Performance,Lock-Free Ring Buffer,SPSC lock-free PTY data pipeline — zero contention between read and render threads,Shipped,Yes
Performance,Triple Buffering,Triple-buffered terminal state with atomic swaps — no tearing and no render blocking,Shipped,Yes
Performance,Low-Latency Input (IOKit HID),IOKit HID keyboard input bypasses NSEvent queue for sub-10ms input latency,Shipped,Yes
Performance,Real-Time Thread Priority,Mach real-time thread policy for render and input threads,Shipped,Yes
Performance,Predictive Rendering,Pre-cache likely terminal output to reduce display latency,Shipped,Yes
Performance,Dirty Region Tracking,Only re-render changed terminal regions — saves GPU cycles on partial updates,Shipped,Yes
Performance,Feature Profiler,Per-feature timing metrics with os.signpost integration for performance analysis,Shipped,No
